NOME;ANO;IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;PONTO_VIRADA;IDADE_ALUNO;PEDRA
ALUNO-321;2020;4.58334;2.0;7.5;2.0;6.40625;6.3333275;10.0;4.9156245;Não;16;Quartzo
ALUNO-323;2020;8.000020000000001;9.1;5.0;4.5;2.5;6.416665;5.0;6.053335000000001;Não;11;Quartzo
ALUNO-324;2020;8.75001;7.9;7.5;6.666666666666667;8.59375;8.333332500000001;10.0;8.064375833333333;Não;16;Ametista
ALUNO-328;2020;7.5;4.1;7.5;9.0;7.96875;7.20833;5.0;6.858541000000001;Não;14;Ágata
ALUNO-329;2020;7.91667;8.6;7.5;7.0;7.96875;7.6249975;10.0;7.9835415;Não;17;Ametista
ALUNO-330;2020;8.000020000000001;7.9;7.5;8.5;7.5;8.0;5.0;7.680002;Não;10;Ametista
ALUNO-332;2020;9.50002;9.2;7.5;10.0;7.291666666666667;7.444443333333333;5.0;8.258057333333333;Não;12;Ametista
ALUNO-335;2020;8.500020000000001;10.0;4.375;9.5;2.5;5.166675;10.0;7.470837;Não;8;Ametista
ALUNO-337;2020;8.33334;9.9;10.0;7.0;9.166666666666666;9.111113333333332;10.0;8.952223333333334;Sim;14;Topázio
ALUNO-338;2020;8.33334;2.1;7.5;4.333333333333333;7.34375;6.5416625;10.0;5.9127081666666665;Não;17;Quartzo
ALUNO-339;2020;9.16668;9.7;7.5;7.333333333333333;8.749999999999998;8.444446666666668;5.0;8.137224;Não;14;Ametista
ALUNO-340;2020;8.33334;9.4;7.5;7.0;8.541666666666666;6.888883333333333;5.0;7.595277333333334;Não;14;Ametista
ALUNO-341;2020;9.16668;10.0;7.5;9.2;0.0;0.0;10.0;9.096668;;19;Topázio
ALUNO-342;2020;9.000020000000001;9.2;5.625;8.0;5.3125;8.5;10.0;8.133752000000001;Não;11;Ametista
ALUNO-343;2020;7.5;8.1;7.5;8.0;8.125;9.000003333333334;2.5;7.582500666666667;Sim;16;Ametista
ALUNO-344;2020;0.0;3.8;5.0;0.0;6.71875;7.08333;10.0;4.348541;Não;16;Quartzo
ALUNO-345;2020;8.500020000000001;10.0;7.5;10.0;7.5;5.74999;10.0;8.5;Não;8;Topázio
ALUNO-346;2020;9.000020000000001;8.0;7.5;9.5;7.1875;7.75;10.0;8.418752000000001;Não;8;Ametista
ALUNO-348;2020;9.50002;10.0;6.25;9.5;2.5;7.83334;5.0;7.79167;Não;9;Ametista
ALUNO-349;2020;9.50002;10.0;7.5;10.0;10.0;10.00001;5.0;9.200004;Sim;10;Topázio
ALUNO-353;2020;10.00002;8.3;6.25;6.0;7.916666666666668;6.944439999999998;5.0;7.165556666666667;Não;12;Ágata
ALUNO-354;2020;9.16668;3.4;4.375;0.0;7.96875;6.624995;5.0;4.656042;Não;15;Quartzo
ALUNO-355;2020;7.50002;8.1;5.0;4.0;7.708333333333334;7.333333333333333;5.0;6.407502000000001;Não;11;Ágata
ALUNO-359;2020;8.500020000000001;9.3;7.5;7.0;7.708333333333334;7.722219999999999;10.0;8.175279333333334;Não;10;Ametista
ALUNO-361;2020;9.000020000000001;4.3;5.625;0.0;8.125;7.666665;10.0;5.668335;Não;9;Quartzo
ALUNO-364;2020;9.000020000000001;9.9;4.375;7.5;5.625;7.166665;10.0;7.813335;Não;9;Ametista
ALUNO-365;2020;9.58335;9.6;5.0;6.666666666666667;8.59375;9.125005000000002;10.0;8.396044333333334;Sim;15;Ametista
ALUNO-367;2020;9.16668;9.4;7.5;6.666666666666667;8.125;8.166666666666668;10.0;8.325834666666669;Não;13;Ametista
ALUNO-368;2020;8.75001;10.0;7.5;8.3;0.0;0.0;10.0;8.695001000000001;;18;Ametista
ALUNO-370;2020;8.75001;9.9;7.5;6.5;8.75;9.166669999999998;10.0;8.613335;Sim;13;Topázio
ALUNO-371;2020;7.91667;7.8;5.0;7.333333333333333;5.78125;7.41667;10.0;7.379792666666667;Não;17;Ametista
ALUNO-372;2020;9.000020000000001;8.0;5.0;6.0;7.5;6.83333;5.0;6.816668000000001;Não;12;Ágata
ALUNO-373;2020;8.75001;5.0;5.625;5.666666666666667;8.125;6.6666625;5.0;6.216666833333334;Não;14;Ágata
ALUNO-375;2020;9.000020000000001;9.5;7.5;9.5;9.6875;9.58334;10.0;9.33542;Sim;10;Topázio
ALUNO-377;2020;9.58335;6.7;4.375;6.0;8.541666666666666;8.111106666666666;10.0;7.412223000000001;Não;11;Ametista
ALUNO-378;2020;7.91667;9.7;3.75;7.0;8.125;8.25;10.0;7.969167;Não;15;Ametista
ALUNO-379;2020;10.00002;6.6;5.0;4.166666666666667;5.625;4.833323333333333;5.0;5.6825;Não;14;Quartzo
ALUNO-380;2020;0.0;0.0;4.375;8.8;0.0;0.0;10.0;5.3950000000000005;;19;Quartzo
ALUNO-381;2020;9.50002;9.8;2.5;8.5;2.5;4.16667;5.0;6.443336;Não;9;Ágata
ALUNO-382;2020;8.33334;10.0;6.875;9.1;0.0;0.0;10.0;8.848334000000001;;18;Ametista
ALUNO-383;2020;9.50002;10.0;6.875;7.5;7.8125;7.5;5.0;7.918752;Não;10;Ametista
ALUNO-385;2020;8.75001;8.6;7.5;6.0;7.708333333333334;7.611113333333334;5.0;7.338057;Não;14;Ametista
ALUNO-387;2020;9.000020000000001;5.6;4.375;6.0;6.875;7.222216666666665;5.0;6.289445333333333;Não;13;Ágata
ALUNO-388;2020;8.000020000000001;8.8;7.5;5.5;6.875;7.222216666666665;5.0;7.0419453333333335;Não;12;Ágata
ALUNO-389;2020;8.33334;9.0;7.5;9.333333333333334;8.541666666666666;9.000006666666666;5.0;8.404168666666667;Sim;16;Ametista
