INSTITUICAO_ENSINO_ALUNO;NOME;IDADE_ALUNO;ANOS_PM;FASE_TURMA;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO
Rede Decisão/União;ALUNO-1218;17;3;7B;Sim;8.840628;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.5;7.5;7.5;8.90625;9.416675;10.0;2020
Escola Pública;ALUNO-1219;13;3;4B;Sim;7.974724666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.7;7.5;3.8333333333333335;8.958333333333332;8.944453333333334;10.0;2020
Rede Decisão/União;ALUNO-1222;17;4;7B;Não;7.533542000000001;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;6.6;6.875;7.0;7.34375;7.374995;10.0;2020
Escola Pública;ALUNO-1223;11;1;1R;Sim;8.350558;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;8.6;7.5;9.5;8.75;8.77778;5.0;2020
Escola Pública;ALUNO-1225;14;1;2P;Não;5.984724;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6.91668;8.0;7.5;0.0;8.541666666666666;7.944446666666668;5.0;2020
Escola Pública;ALUNO-1226;11;1;1R;Não;8.129724666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.1;5.625;9.5;8.75;8.611113333333334;5.0;2020
Escola Pública;ALUNO-1228;11;1;2N;Não;7.600000666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.91668;8.5;7.5;6.5;7.916666666666667;6.833329999999999;10.0;2020
Escola Pública;ALUNO-1229;9;2;1J;Não;7.917778666666665;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;9.2;5.625;8.0;5.208333333333333;7.222216666666665;10.0;2020
Rede Decisão/União;ALUNO-1230;12;3;3L;Não;7.567082333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.24999;9.7;7.5;4.666666666666667;8.4375;7.375;10.0;2020
Escola Pública;ALUNO-1231;12;3;2E;Não;6.0041660000000014;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;0.0;7.0;4.375;7.0;6.666666666666666;7.999996666666666;5.0;2020
Escola Pública;ALUNO-1232;12;1;2H;Não;6.008751;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.2;7.5;0.0;7.1875;7.249995;5.0;2020
Escola Pública;ALUNO-1237;13;1;2G;Não;6.985000666666667;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.916679999999999;8.3;7.5;5.5;7.5;7.166663333333332;5.0;2020
Escola Pública;ALUNO-1238;8;2;1F;Não;8.539168;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.416679999999999;8.8;7.5;10.0;6.875;8.0;10.0;2020
Escola Pública;ALUNO-1241;11;2;2G;Não;4.179721333333333;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;0.0;2.1;7.5;0.0;6.875;6.611106666666666;10.0;2020
Escola Pública;ALUNO-1244;9;1;1B;Não;8.742502000000002;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;8.9;7.5;9.5;8.125;7.75;10.0;2020
